id,username,created_at,lng,lat,text
1521300819341197312,H_squared03,Tue May 03 01:29:14 +0000 2022,-89.92202900000001,35.1335205,@DaleKin39714034 @joshteeter01 Lol I can’t understand how our phones are sosooooo SMART that it won’t allow me to t… https://t.co/kcEQjzJzcD
1521300818888118272,GTBarAcademy,Tue May 03 01:29:14 +0000 2022,-76.62048200000001,39.284712999999996,"Bartender Hiring Event at GBAThursday May 5thTime: 2pm-6pmLocation: 912 South Charles Street, Balt,Md 21230 https://t.co/oI6qhFs0W0"
1521300819609538562,DelynnSunn2,Tue May 03 01:29:14 +0000 2022,-90.253346,30.0093515,@TheShmee @DiamondandSilk What is that supposed to mean
1521300819055812608,kingkelechi63,Tue May 03 01:29:14 +0000 2022,-118.4119065,34.0207895,i love Kodak unreleased clip video season it’s my favorite season https://t.co/NEIsne4I0S
1521300819773120517,PelicanSoul,Tue May 03 01:29:14 +0000 2022,-83.804475,27.698681999999998,This happened today and was super fun and absolutely amazing! @the502s #music #indiefolk #florida #band #rock… https://t.co/SU5uDj2X47
1521300821853487107,kaley11112525,Tue May 03 01:29:14 +0000 2022,-79.2725695,43.629311,@CaleGranton @MapleLeafs play Womanizer Britney Spears OR More Human Than Human White Zombie #GoLeafsGo
1521300822096764931,rachdadoll,Tue May 03 01:29:15 +0000 2022,-84.433106,33.7671945,@shanontabyrd 😭😭😭😭😭😭 I really would’ve never guessed you’d say him idk whyyy
1521300822218313730,thesum,Tue May 03 01:29:15 +0000 2022,-117.874032,33.617638,Attn Women: We are all 2nd class citizens now.
1521300822994427904,ONeilAnthonySw1,Tue May 03 01:29:15 +0000 2022,-80.2067175,26.700978499999998,Nice cakes 🍰
1521300823082418177,dicey631,Tue May 03 01:29:15 +0000 2022,-74.15394699999999,40.572376000000006,@wrigley_jane @NYAnna22 @AP Biden has done way worse than trump ever did
1521300823040528385,CWBOCA,Tue May 03 01:29:15 +0000 2022,-80.134986,26.3739755,"They will never find out who leaked the SCOTUS opinion. 😡When we lose the integrity of the Supreme Court, we have… https://t.co/sPph7i4tDy"
1521300825091547136,Infante54,Tue May 03 01:29:15 +0000 2022,-74.6575195,40.915122999999994,Name a better duo https://t.co/Ty0sw6LwEk
1521300826077245443,jillco,Tue May 03 01:29:15 +0000 2022,-75.117998,40.0048655,@SCOTUSblog Taking away bodily autonomy is more grave.
1521300826937229313,SooSUSPENDED,Tue May 03 01:29:16 +0000 2022,-83.804475,27.698681999999998,Y’all be calling her gorgeous &amp; I scream inside every time. 😭
1521300827188649984,LovingHippy,Tue May 03 01:29:16 +0000 2022,-80.928439,41.8039265,@maimae2017 Good night kitty cats and your family ☺️
